date,vrednost
2015-08-12,0.006239583333333333
2015-08-13,0.006072916666666667
2015-08-14,0.0062187499999999995
2015-08-15,0.006354166666666667
2015-08-16,0.022072916666666664
2015-08-17,0.02078125
2015-08-18,0.03666666666666667
2015-08-19,0.015770833333333335
2015-08-20,0.03677083333333333
2015-08-21,0.026406250000000003
2015-08-22,0.012395833333333333
2015-08-23,0.01109375
2015-08-24,0.0276875
2015-08-25,0.024822916666666667
2015-08-26,0.025416666666666667
2015-08-27,0.011458333333333334
2015-08-28,0.0089375
2015-08-29,0.00903125
2015-08-30,0.01871875
2015-08-31,0.030583333333333334
2015-09-01,0.019364583333333334
2015-09-02,0.02316666666666667
2015-09-03,0.029541666666666664
2015-09-04,0.011645833333333334
2015-09-05,0.01959375
2015-09-06,0.05848958333333334
2015-09-07,0.036125
2015-09-08,0.032052083333333335
2015-09-09,0.030708333333333334
2015-09-10,0.026885416666666665
2015-09-11,0.022281250000000002
2015-09-12,0.03953125
2015-09-13,0.02953125
2015-09-14,0.026406250000000003
2015-09-15,0.030583333333333334
2015-09-16,0.020260416666666666
2015-09-17,0.06669791666666668
2015-09-18,0.06226041666666667
2015-09-19,0.04635416666666667
2015-09-20,0.04861458333333333
2015-09-21,0.026375
2015-09-22,0.029395833333333333
2015-09-23,0.029541666666666664
2015-09-24,0.021645833333333333
2015-09-25,0.031208333333333334
2015-09-26,0.05335416666666667
2015-09-27,0.06647916666666666
2015-09-28,0.025124999999999998
2015-09-29,0.025302083333333333
2015-09-30,0.03804166666666667
2015-10-01,0.016104166666666666
2015-10-02,0.0259375
2015-10-03,0.04770833333333333
2015-10-04,0.030958333333333334
2015-10-05,0.037
2015-10-06,0.02809375
2015-10-07,0.0381875
2015-10-08,0.019322916666666665
2015-10-09,0.03480208333333334
2015-10-10,0.04041666666666666
2015-10-11,0.05726041666666667
2015-10-12,0.023479166666666666
2015-10-13,0.04365625
2015-10-14,0.02825
2015-10-15,0.04232291666666666
2015-10-16,0.019885416666666666
2015-10-17,0.062302083333333334
2015-10-18,0.05540625
2015-10-19,0.025625
2015-10-20,0.02246875
2015-10-21,0.015145833333333332
2015-10-22,0.03669791666666667
2015-10-23,0.014427083333333333
2015-10-24,0.013447916666666665
2015-10-25,0.013645833333333334
2015-10-26,0.040968750000000005
2015-10-27,0.020052083333333335
2015-10-28,0.04521875
2015-10-29,0.021708333333333333
2015-10-30,0.01940625
2015-10-31,0.07227083333333333
2015-11-01,0.0365
2015-11-02,0.024770833333333336
2015-11-03,0.042687499999999996
2015-11-04,0.02796875
2015-11-05,0.02804166666666667
2015-11-06,0.035625
2015-11-07,0.03105208333333333
2015-11-08,0.06184375
2015-11-09,0.033729166666666664
2015-11-10,0.036104166666666666
2015-11-11,0.04770833333333333
2015-11-12,0.03672916666666667
2015-11-13,0.02804166666666667
2015-11-14,0.07133333333333333
2015-11-15,0.0158125
2015-11-16,0.01728125
2015-11-17,0.053312500000000006
2015-11-18,0.03208333333333333
2015-11-19,0.01984375
2015-11-20,0.028135416666666666
2015-11-21,0.06633333333333334
2015-11-22,0.06351041666666667
2015-11-23,0.03551041666666666
2015-11-24,0.024416666666666666
2015-11-25,0.04904166666666667
2015-11-26,0.0273125
2015-11-27,0.022822916666666665
2015-11-28,0.0185
2015-11-29,0.015
2015-11-30,0.046531249999999996
2015-12-01,0.03561458333333333
2015-12-02,0.03561458333333333
2015-12-03,0.03509375
2015-12-04,0.02752083333333333
2015-12-05,0.07327083333333333
2015-12-06,0.04228125
2015-12-07,0.05052083333333333
2015-12-08,0.027781249999999997
2015-12-09,0.025770833333333337
2015-12-10,0.026375
2015-12-11,0.03295833333333333
2015-12-12,0.03927083333333333
2015-12-13,0.07267708333333334
2015-12-14,0.035854166666666666
2015-12-15,0.039968750000000004
2015-12-16,0.03796875
2015-12-17,0.05385416666666667
2015-12-18,0.0569375
2015-12-19,0.044625
2015-12-20,0.05645833333333333
2015-12-21,0.06285416666666667
2015-12-22,0.0588125
2015-12-23,0.05320833333333333
2015-12-24,0.050666666666666665
2015-12-25,0.06789583333333334
2015-12-26,0.029562500000000002
2015-12-27,0.039322916666666666
2015-12-28,0.034208333333333334
2015-12-29,0.02666666666666667
2015-12-30,0.03326041666666667
2015-12-31,0.06122916666666667
2016-01-01,0.059458333333333335
2016-01-02,0.09060416666666667
2016-01-03,0.0511875
2016-01-04,0.03432291666666667
2016-01-05,0.04819791666666667
2016-01-06,0.02682291666666667
2016-01-07,0.028
2016-01-08,0.047375
2016-01-09,0.045010416666666664
2016-01-10,0.044625
2016-01-11,0.0375
2016-01-12,0.03698958333333333
2016-01-13,0.02871875
2016-01-14,0.0436875
2016-01-15,0.017052083333333332
2016-01-16,0.00803125
2016-01-17,0.013041666666666667
2016-01-18,0.021802083333333333
2016-01-19,0.016135416666666666
2016-01-20,0.05004166666666667
2016-01-21,0.011354166666666667
2016-01-22,0.008510416666666668
2016-01-23,0.007427083333333333
2016-01-24,0.035416666666666666
2016-01-25,0.025479166666666667
2016-01-26,0.04271875
2016-01-27,0.033875
2016-01-28,0.03578125
2016-01-29,0.02340625
2016-01-30,0.06340625
2016-01-31,0.07628125000000001
2016-02-01,0.021645833333333333
2016-02-02,0.024729166666666667
2016-02-03,0.03703125
2016-02-04,0.03663541666666666
2016-02-05,0.027875
2016-02-06,0.04535416666666667
2016-02-07,0.022500000000000003
2016-02-08,0.06909375
2016-02-09,0.020385416666666666
2016-02-10,0.04384375000000001
2016-02-11,0.022208333333333333
2016-02-12,0.017385416666666667
2016-02-13,0.04088541666666667
