model,component,epoch,start_epoch_time,end_epoch_time,train_loss,val_loss
20250703155621_t1_linear_regression.pt,main,1,2025-07-03 15:56:22,2025-07-03 15:56:22,0.14150815799817976,0.13872786055995812
20250703155621_t1_linear_regression.pt,main,2,2025-07-03 15:56:22,2025-07-03 15:56:22,0.14145827536240377,0.13869416329616346
20250703155621_t1_linear_regression.pt,main,3,2025-07-03 15:56:22,2025-07-03 15:56:22,0.14142802435268892,0.13866861382071277
20250703155621_t1_linear_regression.pt,main,4,2025-07-03 15:56:22,2025-07-03 15:56:22,0.1414040907743237,0.13864700783113515
20250703155621_t1_linear_regression.pt,main,5,2025-07-03 15:56:22,2025-07-03 15:56:22,0.14138345414612769,0.13862793027244
20250703155622_t1_lstm.pt,main,1,2025-07-03 15:56:22,2025-07-03 15:56:22,0.23571051793710016,0.1757066544168484
20250703155622_t1_lstm.pt,main,2,2025-07-03 15:56:22,2025-07-03 15:56:22,0.22951190351807624,0.171748332540441
20250703155622_t1_lstm.pt,main,3,2025-07-03 15:56:22,2025-07-03 15:56:22,0.22530989203038074,0.16854109952908866
20250703155622_t1_lstm.pt,main,4,2025-07-03 15:56:22,2025-07-03 15:56:22,0.2205177198955385,0.16566515986963828
20250703155622_t1_lstm.pt,main,5,2025-07-03 15:56:22,2025-07-03 15:56:23,0.2169228818271176,0.1630631191019686
20250703155623_t1_linear_regression.pt,main,1,2025-07-03 15:56:23,2025-07-03 15:56:23,0.2049141231502218,0.47566166520118713
20250703155623_t1_linear_regression.pt,main,2,2025-07-03 15:56:23,2025-07-03 15:56:23,0.1958875575382721,0.4486303925514221
20250703155623_t1_linear_regression.pt,main,3,2025-07-03 15:56:23,2025-07-03 15:56:23,0.1876197484106266,0.4223463237285614
20250703155623_t1_linear_regression.pt,main,4,2025-07-03 15:56:23,2025-07-03 15:56:23,0.1795103735671255,0.39633747935295105
20250703155623_t1_linear_regression.pt,main,5,2025-07-03 15:56:23,2025-07-03 15:56:23,0.17146957768448468,0.37059059739112854
20250703155623_t1_lstm.pt,main,1,2025-07-03 15:56:23,2025-07-03 15:56:23,0.19005920855429373,0.36786407232284546
20250703155623_t1_lstm.pt,main,2,2025-07-03 15:56:23,2025-07-03 15:56:23,0.1422432386155786,0.32825905084609985
20250703155623_t1_lstm.pt,main,3,2025-07-03 15:56:23,2025-07-03 15:56:23,0.1287895535747406,0.49345195293426514
20250703155623_t1_lstm.pt,main,4,2025-07-03 15:56:23,2025-07-03 15:56:23,0.14310472877007988,0.29577770829200745
20250703155623_t1_lstm.pt,main,5,2025-07-03 15:56:23,2025-07-03 15:56:23,0.12598931213171025,0.1255059540271759
20250703155623_t1_linear_regression.pt,main,1,2025-07-03 15:56:23,2025-07-03 15:56:23,0.20781377317641864,0.2443387027548141
20250703155623_t1_linear_regression.pt,main,2,2025-07-03 15:56:23,2025-07-03 15:56:23,0.19857289985750046,0.23664608572711462
20250703155623_t1_linear_regression.pt,main,3,2025-07-03 15:56:23,2025-07-03 15:56:23,0.19312488864231594,0.23124021091381042
20250703155623_t1_linear_regression.pt,main,4,2025-07-03 15:56:23,2025-07-03 15:56:23,0.18914569974930193,0.22666577406290198
20250703155623_t1_linear_regression.pt,main,5,2025-07-03 15:56:23,2025-07-03 15:56:23,0.1859688513842441,0.22287684391025736
20250703155623_t1_lstm.pt,main,1,2025-07-03 15:56:23,2025-07-03 15:56:24,0.5836288810836617,0.6486464142799377
20250703155623_t1_lstm.pt,main,2,2025-07-03 15:56:24,2025-07-03 15:56:24,0.5832217688633193,0.6484131813049316
20250703155623_t1_lstm.pt,main,3,2025-07-03 15:56:24,2025-07-03 15:56:24,0.584230350645252,0.6481580138206482
20250703155623_t1_lstm.pt,main,4,2025-07-03 15:56:24,2025-07-03 15:56:24,0.5821394166013337,0.6478937268257141
20250703155623_t1_lstm.pt,main,5,2025-07-03 15:56:24,2025-07-03 15:56:24,0.5829470902870691,0.6476238965988159
20250703155624_t1_linear_regression.pt,main,1,2025-07-03 15:56:24,2025-07-03 15:56:24,0.5039105032818227,0.03112942837178707
20250703155624_t1_linear_regression.pt,main,2,2025-07-03 15:56:24,2025-07-03 15:56:24,0.047054398201311694,0.031548680489261946
20250703155624_t1_linear_regression.pt,main,3,2025-07-03 15:56:24,2025-07-03 15:56:24,0.04015839273416543,0.038556743413209915
20250703155624_t1_linear_regression.pt,main,4,2025-07-03 15:56:24,2025-07-03 15:56:24,0.037963105115709425,0.029625686878959338
20250703155624_t1_linear_regression.pt,main,5,2025-07-03 15:56:24,2025-07-03 15:56:24,0.03583646613302865,0.032172425587972
20250703155624_t1_lstm.pt,main,1,2025-07-03 15:56:24,2025-07-03 15:56:24,0.42512596951255316,0.6565214991569519
20250703155624_t1_lstm.pt,main,2,2025-07-03 15:56:24,2025-07-03 15:56:24,0.4226855053177363,0.6533346176147461
20250703155624_t1_lstm.pt,main,3,2025-07-03 15:56:24,2025-07-03 15:56:24,0.41861300423175474,0.6498785018920898
20250703155624_t1_lstm.pt,main,4,2025-07-03 15:56:24,2025-07-03 15:56:24,0.41495404877240144,0.64631187915802
20250703155624_t1_lstm.pt,main,5,2025-07-03 15:56:24,2025-07-03 15:56:24,0.41167914143091516,0.6426450610160828
20250703155624_t1_linear_regression.pt,main,1,2025-07-03 15:56:24,2025-07-03 15:56:24,0.21217545763505918,0.25834062232734256
20250703155624_t1_linear_regression.pt,main,2,2025-07-03 15:56:24,2025-07-03 15:56:24,0.18699991201538244,0.24476690488572447
20250703155624_t1_linear_regression.pt,main,3,2025-07-03 15:56:24,2025-07-03 15:56:24,0.16509661825666547,0.23138320714420413
20250703155624_t1_linear_regression.pt,main,4,2025-07-03 15:56:24,2025-07-03 15:56:24,0.14913995322576484,0.21923483278810607
20250703155624_t1_linear_regression.pt,main,5,2025-07-03 15:56:24,2025-07-03 15:56:24,0.13942473283326728,0.2089953391078096
20250703155624_t1_lstm.pt,main,1,2025-07-03 15:56:25,2025-07-03 15:56:25,0.3358218397589521,0.13822214305400848
20250703155624_t1_lstm.pt,main,2,2025-07-03 15:56:25,2025-07-03 15:56:25,0.3393200430210784,0.13798083364963531
20250703155624_t1_lstm.pt,main,3,2025-07-03 15:56:25,2025-07-03 15:56:25,0.3343526904930144,0.13777679204940796
20250703155624_t1_lstm.pt,main,4,2025-07-03 15:56:25,2025-07-03 15:56:25,0.336066705202585,0.13761521875858307
20250703155624_t1_lstm.pt,main,5,2025-07-03 15:56:25,2025-07-03 15:56:25,0.33594351857469534,0.1374720185995102
20250703155625_t1_linear_regression.pt,main,1,2025-07-03 15:56:25,2025-07-03 15:56:25,0.4379178382449118,0.48187378178472107
20250703155625_t1_linear_regression.pt,main,2,2025-07-03 15:56:25,2025-07-03 15:56:25,0.4331030235944627,0.4781159499417181
20250703155625_t1_linear_regression.pt,main,3,2025-07-03 15:56:25,2025-07-03 15:56:25,0.42999794842134675,0.4752232510110606
20250703155625_t1_linear_regression.pt,main,4,2025-07-03 15:56:25,2025-07-03 15:56:25,0.42749112058456057,0.4727811935525503
20250703155625_t1_linear_regression.pt,main,5,2025-07-03 15:56:25,2025-07-03 15:56:25,0.42532884935231424,0.47062805942867114
20250703155625_t1_lstm.pt,main,1,2025-07-03 15:56:25,2025-07-03 15:56:25,0.7862553178057031,0.8428201023836314
20250703155625_t1_lstm.pt,main,2,2025-07-03 15:56:25,2025-07-03 15:56:25,0.7810767292976379,0.8391947990618878
20250703155625_t1_lstm.pt,main,3,2025-07-03 15:56:25,2025-07-03 15:56:25,0.7789687194152877,0.8363805024520211
20250703155625_t1_lstm.pt,main,4,2025-07-03 15:56:25,2025-07-03 15:56:25,0.7774586425797804,0.8339884214519714
20250703155625_t1_lstm.pt,main,5,2025-07-03 15:56:25,2025-07-03 15:56:25,0.7745252979870817,0.8318081412996564
20250703155625_t1_linear_regression.pt,main,1,2025-07-03 15:56:25,2025-07-03 15:56:25,0.45860866643019227,0.2914704978466034
20250703155625_t1_linear_regression.pt,main,2,2025-07-03 15:56:25,2025-07-03 15:56:25,0.4257385821576683,0.26782405376434326
20250703155625_t1_linear_regression.pt,main,3,2025-07-03 15:56:25,2025-07-03 15:56:26,0.38970819160680026,0.24222944676876068
20250703155625_t1_linear_regression.pt,main,4,2025-07-03 15:56:26,2025-07-03 15:56:26,0.35151658565631744,0.21569517254829407
20250703155625_t1_linear_regression.pt,main,5,2025-07-03 15:56:26,2025-07-03 15:56:26,0.31249512199040325,0.18883423507213593
20250703155626_t1_lstm.pt,main,1,2025-07-03 15:56:26,2025-07-03 15:56:26,0.2151455367242059,0.04707635914285978
20250703155626_t1_lstm.pt,main,2,2025-07-03 15:56:26,2025-07-03 15:56:26,0.1813341652791506,0.08983667492866516
20250703155626_t1_lstm.pt,main,3,2025-07-03 15:56:26,2025-07-03 15:56:26,0.18716069766946644,0.06574286570151647
20250703155626_t1_lstm.pt,main,4,2025-07-03 15:56:26,2025-07-03 15:56:26,0.1831597103655188,0.05559037998318672
20250703155626_t1_lstm.pt,main,5,2025-07-03 15:56:26,2025-07-03 15:56:26,0.17647428966364273,0.05577773650487264
